Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Choice Consultancy Services,--,1.1k, Mumbai ,Management Consulting,Management Consulting | Mumbai +68 other locations,344,3.5
Shaadi.com,13,1.3k, Mumbai ,Internet,Internet | Mumbai +26 other locations,344,4.0
Roquette Riddhi Siddhi,18,1.2k, Rudrapur ,Pharma,Pharma | Rudrapur +20 other locations,344,3.7
L&T Valves,--,1.9k, Coimbatore ,Industrial Machinery,Industrial Machinery | Coimbatore +15 other locations,344,3.8
Yara Fertilisers,--,1.1k, Gurugram ,Agro Chemicals,Agro Chemicals | Gurugram +62 other locations,344,3.4
Stellar Innovations,17,2k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +12 other locations,343,4.0
A-1 Fence Products,--,979, Mumbai ,Building Material,Building Material | Mumbai +20 other locations,343,3.8
Recipharm Pharmaservices,--,1.5k, Bengaluru ,Pharma,Pharma | Bengaluru +6 other locations,343,4.0
Hindustan Syringes & Medical Devices,4,1.1k, Faridabad ,Medical Equipment,Medical Equipment | Faridabad +16 other locations,343,3.7
Halonix Technologies,2,1.3k, Noida ,Electrical Equipment,Electrical Equipment | Noida +53 other locations,344,4.1
DCM Shriram Industries,--,1.5k, Meerut ,Chemicals,Chemicals | Meerut +35 other locations,343,3.7
Cotmac Electronics,21,1.5k, Pune ,Industrial Automation,Industrial Automation | Pune +23 other locations,343,3.8
Gtpl Broadband,--,1.3k, Ahmedabad ,Telecom,Telecom | Ahmedabad +46 other locations,343,4.5
Jaguar Security Services,7,891, Bengaluru ,Law Enforcement & Security,Law Enforcement & Security | Bengaluru +21 other locations,343,3.7
Worldline,7,2.3k, Mumbai ,FinTech,FinTech | Mumbai +15 other locations,343,3.9
Rithwik Projects,20,1.1k, Hyderabad ,Engineering & Construction,Engineering & Construction | Hyderabad +57 other locations,343,4.3
ADNOC,--,842, Abu Dhabi ,Oil & Gas,Oil & Gas | Abu Dhabi +16 other locations,342,3.9
MYCPE ONE,5,1.1k,N/A,N/A,Ahmedabad +23 other locations,342,3.6
63 Moons Technologies,16,1.9k, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +14 other locations,342,4.0
Adama,1,1k, Hyderabad ,Agro Chemicals,Agro Chemicals | Hyderabad +70 other locations,343,3.4
Phenom,36,2.1k, Hyderabad ,Software Product,Software Product | Hyderabad +4 other locations,342,4.0
Adama,1,1k, Hyderabad ,Agro Chemicals,Agro Chemicals | Hyderabad +70 other locations,343,2.7
Stefanini,15,2k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +12 other locations,342,3.3
Parul University,36,1.2k, Vadodara ,Education & Training,Education & Training | Vadodara +37 other locations,343,4.1
Kerala State Electricity Board,--,1.4k, Palakkad ,Power,Power | Palakkad +30 other locations,342,2.9
JSW One Platforms,7,1.5k, Mumbai ,Internet,Internet | Mumbai +39 other locations,342,3.6
Autocomp Corporation Panse,5,1.4k, Pune ,Auto Components,Auto Components | Pune +12 other locations,343,3.6
Groww,19,2.4k, Bengaluru ,FinTech,FinTech | Bengaluru +15 other locations,342,4.2
Clariant Chemicals,4,1.6k, Mumbai ,Chemicals,Chemicals | Mumbai +18 other locations,342,3.3
Mahindra Insurance Brokers,3,1k, Mumbai ,Insurance,Insurance | Mumbai +90 other locations,342,3.9
MSP Steel & Power,13,1.1k, Raigarh ,Iron & Steel,Iron & Steel | Raigarh +19 other locations,344,4.0
Ircon International,--,958, New Delhi ,Engineering & Construction,Engineering & Construction | New Delhi +54 other locations,341,4.0
Sequel Logistics,--,1.1k, Bengaluru ,Logistics,Logistics | Bengaluru +47 other locations,341,3.8
Vascon Engineers,4,1.1k, Pune ,Real Estate,Real Estate | Pune +21 other locations,341,3.7
ACB (India),1,1.5k, Korba ,Oil & Gas,Oil & Gas | Korba +30 other locations,341,4.1
Oceaneering International,2,1.9k, Chandigarh ,Engineering & Construction,Engineering & Construction | Chandigarh +10 other locations,341,3.9
Evelyn Learning Systems,--,791, New Delhi ,EdTech,EdTech | New Delhi +10 other locations,341,3.7
Urban Ladder,--,1.5k, Bengaluru ,Furniture & Furnishing,Furniture & Furnishing | Bengaluru +31 other locations,341,4.1
Savista Global Solutions,30,1.3k, Chennai ,Analytics & KPO,Analytics & KPO | Chennai +8 other locations,341,3.2
International Game Technology,--,1.3k, Gurugram ,Gaming,Gaming | Gurugram +10 other locations,341,3.3
Globtier Infotech Limited,2,1.8k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +37 other locations,341,3.3
VXI Global Solutions,4,915, Hyderabad ,BPO,BPO | Hyderabad +5 other locations,341,3.7
Theme Engineering Services,7,987, Jaipur ,Engineering & Construction,Engineering & Construction | Jaipur +110 other locations,341,3.6
Muthoot Capital Services,2,934, Kochi ,Financial Services,Financial Services | Kochi +99 other locations,341,3.1
DISYS,--,2.1k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +11 other locations,340,3.5
Sri Sri Tattva,--,1.1k, Bengaluru ,FMCG,FMCG | Bengaluru +58 other locations,341,3.7
CESC,--,1.5k, Kolkata ,Power,Power | Kolkata +15 other locations,340,4.0
R&R Limousine And Bus,--,123,N/A,N/A,Chennai +11 other locations,340,3.2
Sakthi Auto Components,--,1k, Erode ,Auto Components,Auto Components | Erode +20 other locations,340,3.7
Bain & Company,18,5.5k, Gurugram ,Management Consulting,Management Consulting | Gurugram +7 other locations,340,3.0
WPP,33,2.3k, Mumbai ,Marketing & Advertising,Marketing & Advertising | Mumbai +10 other locations,340,3.9
TMEIC,5,1.6k,N/A,N/A,Bengaluru +10 other locations,340,3.5
Network 18,11,2.5k, Mumbai ,Media & Entertainment,Media & Entertainment | Mumbai +29 other locations,340,3.7
Mars,6,1.1k, Gurugram ,Food Processing,Food Processing | Gurugram +65 other locations,341,3.3
Cygnet Infotech,1,2.2k, Ahmedabad ,IT Services & Consulting,IT Services & Consulting | Ahmedabad +13 other locations,340,4.1
Delhi Metro Rail Corporation,--,1k, New Delhi ,Logistics,Logistics | New Delhi +23 other locations,340,3.9
Padmini VNA Mechatronics,1,1.4k, Gurugram ,Auto Components,Auto Components | Gurugram +6 other locations,340,3.0
Kraft Heinz Company,58,1.3k, Ahmedabad ,FMCG,FMCG | Ahmedabad +33 other locations,340,3.7
Kyndal India,--,3.2k, Bengaluru ,Beverage,Beverage | Bengaluru +11 other locations,340,3.6
NXP Semiconductors,16,2.6k, Bengaluru ,Semiconductors,Semiconductors | Bengaluru +12 other locations,340,3.6
NXP Semiconductors,16,2.6k, Bengaluru ,Semiconductors,Semiconductors | Bengaluru +12 other locations,340,3.8
SMC Corporation,15,1.9k, Noida ,Medical Equipment,Medical Equipment | Noida +46 other locations,339,4.0
GTPL-KCBPL,--,450, Kolkata ,Telecom,Telecom | Kolkata +35 other locations,340,3.9
SBI Payment Services,9,1.2k, Mumbai ,Financial Services,Financial Services | Mumbai +117 other locations,341,3.7
Khimji Ramdas,10,865, Ahmedabad ,Retail,Retail | Ahmedabad +33 other locations,339,3.5
Sata Vikas India,--,936, Palwal ,Auto Components,Auto Components | Palwal +16 other locations,339,3.6
Shah Technical Consultants,--,919, Mumbai ,Telecom,Telecom | Mumbai +66 other locations,339,4.1
CKA Birla Group,--,1.3k, Hyderabad ,Building Material,Building Material | Hyderabad +57 other locations,338,4.1
MNC Group,4,1.8k, Bengaluru ,Investment Banking / Venture Capital / Private Equity,Investment Banking / Venture Capital / Private Equity | Bengaluru +52 other locations,338,3.5
Red Health,5,778, Hyderabad ,Healthcare,Healthcare | Hyderabad +29 other locations,338,3.2
Ven Consulting,--,846, Bengaluru ,Recruitment,Recruitment | Bengaluru +58 other locations,338,3.5
IIC Technologies,2,1.1k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +20 other locations,338,3.8
Escon Elevators,12,931, Mumbai ,Industrial Machinery,Industrial Machinery | Mumbai +15 other locations,338,3.8
Zebronics,26,1.2k, Chennai ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Chennai +43 other locations,338,3.9
Fluper,9,540, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +4 other locations,338,2.9
6D Technologies,--,2.6k, Bengaluru ,Telecom,Telecom | Bengaluru +14 other locations,338,4.4
Kushal's Fashion Jewellery,123,650, Bengaluru ,Jewellery,Jewellery | Bengaluru +31 other locations,338,3.5
Technicolor,2,1.9k, Bengaluru ,Animation & VFX,Animation & VFX | Bengaluru +10 other locations,337,4.1
People Prime Worldwide,--,1.4k, Hyderabad ,Recruitment,Recruitment | Hyderabad +8 other locations,337,4.3
Oil India,--,881, Duliajan ,Oil & Gas,Oil & Gas | Duliajan +46 other locations,337,3.4
eMudhra,--,1.6k, Bengaluru ,Software Product,Software Product | Bengaluru +15 other locations,340,3.6
Advanced Micro Devices,393,3.1k, Hyderabad ,Semiconductors,Semiconductors | Hyderabad +15 other locations,337,4.0
Kimberly-Clark,31,1.6k, Bengaluru ,Beauty & Personal Care,Beauty & Personal Care | Bengaluru +56 other locations,337,4.1
People Prime Worldwide,--,1.4k, Hyderabad ,Recruitment,Recruitment | Hyderabad +8 other locations,337,4.3
Oil India,--,881, Duliajan ,Oil & Gas,Oil & Gas | Duliajan +46 other locations,337,3.9
Valvoline Cummins,13,1.4k, Gurugram ,Auto Components,Auto Components | Gurugram +58 other locations,337,3.8
Light Microfinance,4,897, Ahmedabad ,NBFC,NBFC | Ahmedabad +115 other locations,338,4.2
Somic ZF Components,1,1.1k, Gurugram ,Auto Components,Auto Components | Gurugram +19 other locations,337,3.2
Gufic Biosciences,43,1.4k, Mumbai ,Pharma,Pharma | Mumbai +36 other locations,337,3.7
Avantor,31,2.4k, Coimbatore ,Pharma,Pharma | Coimbatore +26 other locations,336,3.3
Zet Town,--,1k, Noida ,Electronics Manufacturing,Electronics Manufacturing | Noida +9 other locations,336,4.1
InfodriveIndia,5,520, New Delhi ,Other,Other | New Delhi +4 other locations,336,3.9
Silverlink Technologies,9,383, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +17 other locations,336,3.5
Intelizign Lifecycle Services,29,2.5k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +6 other locations,336,2.6
Arzooo.com,--,1.2k, Bengaluru ,Internet,Internet | Bengaluru +44 other locations,327,3.0
UNext,39,1.6k, Bengaluru ,EdTech,EdTech | Bengaluru +13 other locations,336,3.9
Satin Finserv,4,674, Gurugram ,NBFC,NBFC | Gurugram +93 other locations,336,4.0
Zf Wind Power,--,1.5k,N/A,N/A,Coimbatore +8 other locations,336,4.6
NR Consulting,51,295, Noida ,Recruitment,Recruitment | Noida +16 other locations,336,3.3
Bal Pharma,6,1.2k, Bengaluru ,Pharma,Pharma | Bengaluru +21 other locations,336,4.6
NR Consulting,51,295, Noida ,Recruitment,Recruitment | Noida +16 other locations,336,3.4
Nutricia,--,628, Mumbai ,Fitness & Wellness,Fitness & Wellness | Mumbai +66 other locations,336,4.0
SOPAN,--,1.1k, Pune ,Industrial Machinery,Industrial Machinery | Pune +42 other locations,335,3.6
Multiplier Brand Solutions,2,903, New Delhi ,Marketing & Advertising,Marketing & Advertising | New Delhi +74 other locations,345,4.2
Jtekt Sona Automotive India,--,847, Gurugram ,Auto Components,Auto Components | Gurugram +16 other locations,335,3.4
AVL,--,1.6k, Gurugram ,Automobile,Automobile | Gurugram +24 other locations,335,4.0
Essilor,9,1.4k, Bengaluru ,Medical Equipment,Medical Equipment | Bengaluru +44 other locations,335,3.1
Dentsu Aegis Network,--,3k, Bengaluru ,Marketing & Advertising,Marketing & Advertising | Bengaluru +14 other locations,335,4.1
Sub-K IMPACT Solutions,--,852, Hyderabad ,Financial Services,Financial Services | Hyderabad +112 other locations,334,3.2
Motherson Technology Services,1,2k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +11 other locations,335,3.6
Coding Ninjas,6,1.4k, Gurugram ,EdTech,EdTech | Gurugram +11 other locations,334,3.9
Ceat Specialty Tyres,--,1.2k, Mumbai ,Auto Components,Auto Components | Mumbai +37 other locations,335,3.5
Rao IIT Academy,--,515, Mumbai ,Education & Training,Education & Training | Mumbai +21 other locations,334,4.2
Aeronautical Development Agency,--,1.9k, Bengaluru ,Defence & Aerospace,Defence & Aerospace | Bengaluru +9 other locations,334,3.2
Kalyani Motors,9,1.2k, Bengaluru ,Automobile,Automobile | Bengaluru +11 other locations,334,4.1
Taco Bell,--,992, New Delhi ,Hospitality,Hospitality | New Delhi +39 other locations,335,3.5
Halliburton,41,1.3k, Bengaluru ,Engineering & Construction,Engineering & Construction | Bengaluru +27 other locations,334,3.6
Bluechip Corporate Investment Centre,--,1k, Mumbai ,Accounting & Auditing,Accounting & Auditing | Mumbai +100 other locations,334,3.8
Indchemie Health Specialities,--,926, Mumbai ,Pharma,Pharma | Mumbai +62 other locations,334,3.9
"Ministry Of Health, New Delhi",4,888, New Delhi ,Healthcare,Healthcare | New Delhi +47 other locations,334,3.3
VGM Consultants,--,1.1k, Kolkata ,BPO,BPO | Kolkata +50 other locations,334,3.5
ESAF CO-OPERATIVE,--,885, Thrissur ,Financial Services,Financial Services | Thrissur +132 other locations,333,3.5
BLS International Services,44,1.1k, New Delhi ,Travel & Tourism,Travel & Tourism | New Delhi +53 other locations,333,3.3
CityMall,3,1.4k, Gurugram ,Internet,Internet | Gurugram +24 other locations,334,3.7
Integrated Wireless Solutions,2,1k, Bengaluru ,Telecom,Telecom | Bengaluru +41 other locations,333,3.4
Praxis Services,4,967, Gurugram ,Management Consulting,Management Consulting | Gurugram +8 other locations,333,4.2
Furukawa Minda Electric,--,960, Bawal ,Auto Components,Auto Components | Bawal +14 other locations,333,3.0
Paperchase Accountancy,1,1.6k, Ahmedabad ,Accounting & Auditing,Accounting & Auditing | Ahmedabad +9 other locations,333,4.1
VIKRAN Engineering & Exim,7,1.1k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +67 other locations,333,2.8
Aloha Technology,5,1.8k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +10 other locations,333,3.6
Vem Technologies,4,1.3k, Hyderabad ,Defence & Aerospace,Defence & Aerospace | Hyderabad +4 other locations,333,3.4
Biz 2 Credit Info Services,15,1.3k, Noida ,Financial Services,Financial Services | Noida +5 other locations,332,4.0
Agility,5,1.2k, Chennai ,Logistics,Logistics | Chennai +37 other locations,332,3.7
IndusInd Securities,--,966, Mumbai ,Financial Services,Financial Services | Mumbai +53 other locations,332,4.0
Labcorp,3,2.2k, Bengaluru ,Clinical Research,Clinical Research | Bengaluru +11 other locations,332,4.4
Motilal Oswal Asset Management Company,--,455, Mumbai ,Financial Services,Financial Services | Mumbai +43 other locations,332,3.9
MTR Foods,--,1.1k, Bengaluru ,FMCG,FMCG | Bengaluru +46 other locations,332,4.1
Minda Kosei Aluminum Wheel,--,1k, Ahmedabad ,Auto Components,Auto Components | Ahmedabad +16 other locations,332,4.4
IIT Bombay,6,1.7k, Mumbai ,Education & Training,Education & Training | Mumbai +13 other locations,332,3.1
Cox & Kings,--,1k, Mumbai ,Travel & Tourism,Travel & Tourism | Mumbai +48 other locations,331,2.8
Clarus Rcm Infotech,4,1.1k, Hyderabad ,BPO,BPO | Hyderabad +15 other locations,331,3.2
Entab Infotech,3,1.1k, New Delhi ,EdTech,EdTech | New Delhi +14 other locations,331,3.9
Coditas Technologies,4,2.2k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +7 other locations,332,3.3
Hindustan Urvarak & Rasayan,--,1.5k, Gorakhpur ,Agro Chemicals,Agro Chemicals | Gorakhpur +23 other locations,331,3.5
Kpmg Resource Centre,--,2.1k, Gurugram ,Accounting & Auditing,Accounting & Auditing | Gurugram +12 other locations,331,3.8
Unique Identification Authority of India,--,1k, New Delhi ,IT Services & Consulting,IT Services & Consulting | New Delhi +93 other locations,331,3.8
Vasan Eye Care Hospitals,--,703, Bengaluru ,Healthcare,Healthcare | Bengaluru +73 other locations,331,3.5
Lloyd Insulations,1,1.3k, New Delhi ,Industrial Machinery,Industrial Machinery | New Delhi +42 other locations,331,3.0
ICRA Analytics,2,1.5k, Kolkata ,Analytics & KPO,Analytics & KPO | Kolkata +5 other locations,331,4.1
Ace Designers,--,1.6k, Bengaluru ,Industrial Machinery,Industrial Machinery | Bengaluru +14 other locations,331,3.8
Signode,--,1.4k, Hyderabad ,Industrial Machinery,Industrial Machinery | Hyderabad +39 other locations,331,3.2
Zopper,8,1.4k, Noida ,FinTech,FinTech | Noida +45 other locations,331,4.0
Walplast Products,50,1.2k, Mumbai ,Building Material,Building Material | Mumbai +61 other locations,331,3.5
MJ Biopharm,18,1.4k, Pune ,Pharma,Pharma | Pune +9 other locations,331,4.1
Wonderla Holidays,52,1.1k, Bengaluru ,Media & Entertainment,Media & Entertainment | Bengaluru +16 other locations,331,3.6
Machino Plastics,8,1.5k, Gurugram ,Auto Components,Auto Components | Gurugram +17 other locations,330,4.2
Pitaara,--,451, Pune ,Food Processing,Food Processing | Pune +66 other locations,338,4.1
Maharashtra Hybrid Seed Company,1,868, Chhatrapati Sambhajinagar ,Agriculture,Agriculture | Chhatrapati Sambhajinagar +74 other locations,330,3.7
Polyhose,36,1.8k, Chennai ,Industrial Machinery,Industrial Machinery | Chennai +18 other locations,330,3.9
Pfizer Products India,--,1.3k, Visakhapatnam ,Pharma,Pharma | Visakhapatnam +15 other locations,330,3.9
Pfizer Products India,--,1.3k, Visakhapatnam ,Pharma,Pharma | Visakhapatnam +15 other locations,330,3.9
Telstra,2,2.8k, Bengaluru ,Telecom,Telecom | Bengaluru +8 other locations,331,2.8
Park Plus,14,1.8k, Gurugram ,Internet,Internet | Gurugram +36 other locations,338,3.5
MUFG Bank,40,2.4k, Bengaluru ,Banking,Banking | Bengaluru +13 other locations,329,3.7
Global Aluminium,--,878, Hyderabad ,Metals & Mining,Metals & Mining | Hyderabad +17 other locations,332,4.4
Hyundai Construction Equipment,3,1.5k, Pune ,Industrial Machinery,Industrial Machinery | Pune +39 other locations,329,2.8
Satguru Travels and Tour Services,5,1.3k, Pune ,Travel & Tourism,Travel & Tourism | Pune +36 other locations,329,4.0
Lucas Indian Service,--,1k, Chennai ,Auto Components,Auto Components | Chennai +52 other locations,330,3.7
DSV - Global Transport and Logistics,2,1.5k, Mumbai ,Logistics,Logistics | Mumbai +36 other locations,331,4.0
NIKE,--,2.4k, Bengaluru ,Retail,Retail | Bengaluru +44 other locations,329,3.9
Dinshaws,--,1k, Nagpur ,Food Processing,Food Processing | Nagpur +55 other locations,329,4.0
Pricol Precision Products,--,1.1k, Hosur ,Auto Components,Auto Components | Hosur +18 other locations,329,3.7
Gi Group,1,1.2k, Mumbai ,Recruitment,Recruitment | Mumbai +57 other locations,329,3.7
You Broadband,--,999, Pune ,Telecom,Telecom | Pune +31 other locations,329,4.0
Plasser India,--,1.7k, Vadodara ,Industrial Machinery,Industrial Machinery | Vadodara +12 other locations,329,4.0
Springer Nature in India,10,2.5k, Pune ,Analytics & KPO,Analytics & KPO | Pune +4 other locations,329,4.0
L&T–MHI Power Boilers,--,1.5k, Surat ,Industrial Machinery,Industrial Machinery | Surat +21 other locations,329,3.3
Red Tape,1,1.1k, New Delhi ,Fashion & Textile,Fashion & Textile | New Delhi +71 other locations,328,3.4
Adani Electricity,--,1.6k, Mumbai ,Power,Power | Mumbai +37 other locations,354,3.4
Path Infotech,2,1.7k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +9 other locations,329,3.4
Path Infotech,2,1.7k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +9 other locations,329,3.8
TestingXperts,3,2.2k, Chandigarh ,IT Services & Consulting,IT Services & Consulting | Chandigarh +12 other locations,328,2.6
AVASOFT,--,1.5k, Chennai ,Software Product,Software Product | Chennai +7 other locations,328,4.2
Yubi,2,1.9k, Chennai ,FinTech,FinTech | Chennai +12 other locations,328,3.6
Rainbow Childrens Hospital,10,1k, Hyderabad ,Healthcare,Healthcare | Hyderabad +14 other locations,327,4.2
Kalkine Solutions,2,879, Noida ,Financial Services,Financial Services | Noida +2 other locations,327,3.8
EqualizeRCM Services,10,1.1k, Mysuru ,Analytics & KPO,Analytics & KPO | Mysuru +9 other locations,327,3.6
Glorious Insight,1,256, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +6 other locations,327,3.3
Adglobal360,3,2.1k,N/A,N/A,Gurugram +11 other locations,327,4.0
Telecom Network Solutions,11,1.1k, Noida ,Telecom,Telecom | Noida +53 other locations,327,4.0
SOTC Travel Limited,12,1.1k, Mumbai ,Travel & Tourism,Travel & Tourism | Mumbai +34 other locations,327,4.0
Volvo Trucks,--,1.6k, Bengaluru ,Automobile,Automobile | Bengaluru +34 other locations,327,3.4
Banco Products,1,1.7k, Vadodara ,Auto Components,Auto Components | Vadodara +19 other locations,327,3.3
Omnicom Global Solutions,40,2.1k, Bengaluru ,Marketing & Advertising,Marketing & Advertising | Bengaluru +12 other locations,327,4.1
Rushil Decor,--,976, Ahmedabad ,Building Material,Building Material | Ahmedabad +34 other locations,328,3.6
Selec Controls,28,2k, Mumbai ,Electronics Manufacturing,Electronics Manufacturing | Mumbai +21 other locations,327,3.5
Patil Group,3,1.4k, Hyderabad ,Railways,Railways | Hyderabad +45 other locations,327,4.0
ESAB,6,1.5k, Chennai ,Industrial Machinery,Industrial Machinery | Chennai +27 other locations,328,3.5
Scaleneworks,2,1.3k, Bengaluru ,Recruitment,Recruitment | Bengaluru +31 other locations,327,3.7
Hitech Digital Solutions,34,1.5k, Ahmedabad ,IT Services & Consulting,IT Services & Consulting | Ahmedabad +18 other locations,326,3.9
Sundaram Motors,--,1.1k, Chennai ,Automobile,Automobile | Chennai +43 other locations,326,4.0
Aabasoft,35,795, Kochi ,IT Services & Consulting,IT Services & Consulting | Kochi +12 other locations,326,3.8
Polyplastics Industries (I),--,1.3k, Pune ,Auto Components,Auto Components | Pune +16 other locations,326,4.0
Nitco,122,1.2k, Mumbai ,Building Material,Building Material | Mumbai +59 other locations,326,4.2
Veolia Water Technologies,10,1.3k, Bengaluru ,Waste Management,Waste Management | Bengaluru +53 other locations,326,3.8
Harsha Engineers,4,1.6k, Ahmedabad ,Auto Components,Auto Components | Ahmedabad +12 other locations,326,3.5
KJS Cement,5,1.1k, Maihar ,Building Material,Building Material | Maihar +43 other locations,326,3.9
Balrampur Chini Mills Limited,--,946, Lucknow ,Food Processing,Food Processing | Lucknow +24 other locations,326,4.4
Louis Philippe,--,735, Bengaluru ,Fashion & Textile,Fashion & Textile | Bengaluru +77 other locations,326,3.7
Victora Tool Engineers,--,1.2k, Faridabad ,Auto Components,Auto Components | Faridabad +16 other locations,325,4.3
Kuwait National Petroleum Company,--,1k, Kuwait City ,Oil & Gas,Oil & Gas | Kuwait City +19 other locations,325,3.9
Siti Networks,--,989, Noida ,Media & Entertainment,Media & Entertainment | Noida +53 other locations,325,3.2
Rajsriya Automotive Industries,1,1.2k, Hosur ,Auto Components,Auto Components | Hosur +13 other locations,325,3.4
Versuni India Home Solutions,1,1.2k, Chennai ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Chennai +42 other locations,325,3.0
CareEdge Ratings,1,1.8k, Mumbai ,Financial Services,Financial Services | Mumbai +20 other locations,325,3.6
Rio Tinto,--,1.6k, Gurugram ,Metals & Mining,Metals & Mining | Gurugram +12 other locations,325,3.7
TIBCO Software,46,3.4k, Pune ,Software Product,Software Product | Pune +7 other locations,325,4.1
Senvion,5,1.4k, Bengaluru ,Power,Power | Bengaluru +33 other locations,325,3.6
Brawn Group,18,1.1k, Faridabad ,Pharma,Pharma | Faridabad +14 other locations,324,2.6
Han Digital,1.6k,761, Bengaluru ,Recruitment,Recruitment | Bengaluru +21 other locations,324,3.8
Cadence Design Systems,167,2.9k, Noida ,Semiconductors,Semiconductors | Noida +16 other locations,324,3.6
Compunnel,80,1.9k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +15 other locations,324,2.8
Decimal Point Analytics,29,2k, Mumbai ,Analytics & KPO,Analytics & KPO | Mumbai +9 other locations,324,3.7
Mahindra Truck and Bus,--,1k, Pune ,Automobile,Automobile | Pune +64 other locations,324,3.8
VKC Group,--,1.2k, Kozhikode ,Fashion & Textile,Fashion & Textile | Kozhikode +45 other locations,324,3.2
Sureti Insurance Marketing,--,151, Coimbatore ,Insurance,Insurance | Coimbatore +8 other locations,329,3.7
Universal Mep Projects & Engineering Services,--,847, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +65 other locations,325,3.1
Aptean,51,2.4k, Bengaluru ,Software Product,Software Product | Bengaluru +6 other locations,324,3.7
Greentech Industries,2,1.1k, Nellore ,Industrial Machinery,Industrial Machinery | Nellore +18 other locations,324,4.1
DCDC Kidney Care,8,547, New Delhi ,Healthcare,Healthcare | New Delhi +76 other locations,323,3.8
Nava Limited,5,1.1k, Hyderabad ,Metals & Mining,Metals & Mining | Hyderabad +28 other locations,323,4.0
BIC Cello,--,983, Mumbai ,Other,Other | Mumbai +54 other locations,324,4.3
Kubota Agricultural Machinery India,--,1.3k, Chennai ,Agriculture,Agriculture | Chennai +46 other locations,323,3.6
Toyota Financial Services,--,1.1k, Bengaluru ,Financial Services,Financial Services | Bengaluru +61 other locations,323,3.6
Himadri Speciality Chemical Limited,--,1.6k, Kolkata ,Chemicals,Chemicals | Kolkata +15 other locations,323,3.8
Corizo,1,402, Bengaluru ,Education & Training,Education & Training | Bengaluru +16 other locations,324,2.8
Can Fin Homes,3,1.1k, Bengaluru ,NBFC,NBFC | Bengaluru +83 other locations,324,4.0
Shree Renuka Sugars,2,1.1k, Belagavi ,Food Processing,Food Processing | Belagavi +43 other locations,323,3.9
Techno Electric & Engineering Company,2,1.2k, Kolkata ,Engineering & Construction,Engineering & Construction | Kolkata +54 other locations,323,3.4
Robosoft Technologies,41,2.2k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +12 other locations,323,3.9
Techno Electric & Engineering Company,2,1.2k, Kolkata ,Engineering & Construction,Engineering & Construction | Kolkata +54 other locations,323,3.9
Sarvagram Fincare,--,941, Pune ,NBFC,NBFC | Pune +110 other locations,323,4.0
Shree Renuka Sugars,2,1.1k, Belagavi ,Food Processing,Food Processing | Belagavi +43 other locations,323,3.7
MobileComm Technologies India,--,1k, Gurugram ,Telecom,Telecom | Gurugram +33 other locations,321,3.4
E-Solutions,--,1.5k, Noida ,Recruitment,Recruitment | Noida +23 other locations,322,3.6
Stellar Value Chain Solutions,--,1.4k, Mumbai ,Logistics,Logistics | Mumbai +39 other locations,322,3.6
Peel-works,--,652, Bengaluru ,Software Product,Software Product | Bengaluru +26 other locations,322,3.9
Modern V.R. Security Force,--,731, Mumbai ,Law Enforcement & Security,Law Enforcement & Security | Mumbai +73 other locations,322,3.5
Accel IT Services,20,1.4k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +60 other locations,322,4.0
Columbia Petro Chem,1,544, Mumbai ,Oil & Gas,Oil & Gas | Mumbai +12 other locations,322,3.9
Technosoft Engineering Projects Limited,26,1.3k, Mumbai ,Industrial Automation,Industrial Automation | Mumbai +6 other locations,322,3.4
ITM Group of Institutions,--,1.2k, Mumbai ,Education & Training,Education & Training | Mumbai +34 other locations,322,4.0
Jms Mining Services,--,1k, Kolkata ,Metals & Mining,Metals & Mining | Kolkata +29 other locations,324,3.9
Boehringer-Ingelheim,8,1.1k, Mumbai ,Pharma,Pharma | Mumbai +55 other locations,323,3.5
IFFCO Kisan Sanchar,--,730, New Delhi ,Agro Chemicals,Agro Chemicals | New Delhi +72 other locations,321,3.4
Luxor Writing Instruments,--,1.1k, Noida ,Other,Other | Noida +40 other locations,321,3.6
Aujas Cybersecurity-NuSummit company,28,2.3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +12 other locations,321,3.3
