Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Aurobindo Pharma,21,20.7k, Hyderabad ,Pharma,Pharma | Hyderabad +115 other locations,5.7k,4.0
Udaan,8,15.7k, Bengaluru ,Internet,Internet | Bengaluru +367 other locations,5.7k,3.9
GlobalLogic,33,41.1k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +62 other locations,5.7k,3.5
Manappuram Finance,13,9.4k, Bengaluru ,NBFC,NBFC | Bengaluru +657 other locations,5.7k,3.9
Firstsource Solutions,165,24.7k, Bengaluru ,BPO,BPO | Bengaluru +74 other locations,5.7k,3.5
ICICI Lombard General Insurance Company,230,20k, Mumbai ,Insurance,Insurance | Mumbai +318 other locations,5.7k,3.5
Tata Capital,4.9k,15.7k, Mumbai ,NBFC,NBFC | Mumbai +447 other locations,5.7k,4.0
Shapoorji Pallonji Group,66,15.5k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +189 other locations,5.7k,4.1
Standard Chartered,--,42.2k, Chennai ,Banking,Banking | Chennai +67 other locations,5.6k,3.6
UST,76,40k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +51 other locations,5.6k,3.7
Apollo Hospitals,177,16.6k, Chennai ,Healthcare,Healthcare | Chennai +228 other locations,5.6k,4.1
Mahindra Finance,505,12.2k, Mumbai ,NBFC,NBFC | Mumbai +737 other locations,5.6k,3.9
Bosch Global Software Technologies,16,40.6k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +47 other locations,5.6k,3.7
Ashok Leyland,--,18.8k, Chennai ,Automobile,Automobile | Chennai +266 other locations,5.5k,4.0
Swiggy,220,23.4k, Bengaluru ,Internet,Internet | Bengaluru +238 other locations,5.5k,3.7
Citicorp,--,53.5k, Pune ,Financial Services,Financial Services | Pune +68 other locations,5.5k,3.7
Hero MotoCorp,1,16k, Gurugram ,Automobile,Automobile | Gurugram +369 other locations,5.4k,4.1
CGI Group,515,46.4k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +43 other locations,5.4k,4.0
Cyient,79,27.6k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +49 other locations,5.3k,3.6
SBI Cards & Payment Services,75,16.1k, Gurugram ,Financial Services,Financial Services | Gurugram +443 other locations,5.2k,3.6
BNY,73,31.5k, Pune ,Financial Services,Financial Services | Pune +26 other locations,5.2k,3.6
Kalpataru Projects International,4,13.6k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +325 other locations,5.2k,4.2
NTT DATA,72,36.6k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +81 other locations,5.2k,3.8
IQVIA,42,31.2k, Bengaluru ,Clinical Research,Clinical Research | Bengaluru +66 other locations,5.2k,3.7
Nagarjuna Construction Company,16,12.3k, Hyderabad ,Engineering & Construction,Engineering & Construction | Hyderabad +299 other locations,5.1k,4.0
JustDial,88,15.4k, Noida ,Internet,Internet | Noida +232 other locations,5.1k,3.5
Schneider Electric,168,25k, Bengaluru ,Industrial Automation,Industrial Automation | Bengaluru +119 other locations,5.1k,4.1
SBI Life Insurance Company,1,11.9k, Mumbai ,Insurance,Insurance | Mumbai +658 other locations,5.1k,3.7
CBRE,198,18.9k, Hyderabad ,Real Estate,Real Estate | Hyderabad +92 other locations,5.1k,4.1
TVS Motor,21,16k, Hosur ,Automobile,Automobile | Hosur +352 other locations,5k,3.9
Persistent Systems,283,45.7k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +41 other locations,5k,3.6
State Bank of India,10,11.7k, Mumbai ,Banking,Banking | Mumbai +622 other locations,4.9k,3.8
Atos,101,33.7k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +49 other locations,4.9k,3.8
vivo,6,13.1k, Noida ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Noida +415 other locations,4.9k,4.1
KEC International,16,13.5k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +313 other locations,4.9k,4.0
Ecom Express,--,9.4k, Gurugram ,Logistics,Logistics | Gurugram +778 other locations,4.8k,4.0
Amdocs,14,37.4k, Pune ,Software Product,Software Product | Pune +24 other locations,4.8k,3.6
ITC Infotech,93,29.7k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +68 other locations,4.8k,3.8
JBM Group,53,14k, Gurugram ,Auto Components,Auto Components | Gurugram +118 other locations,4.8k,3.9
Varun Beverages,56,11.9k, New Delhi ,Beverage,Beverage | New Delhi +383 other locations,4.8k,4.0
Eviden,1,27.3k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +39 other locations,4.8k,3.6
Nagarro,332,32.8k, Gurugram ,IT Services & Consulting,IT Services & Consulting | Gurugram +49 other locations,4.7k,3.9
Bosch,--,21k, Bengaluru ,Auto Components,Auto Components | Bengaluru +132 other locations,4.6k,4.1
Randstad,6,16.8k, Hyderabad ,Recruitment,Recruitment | Hyderabad +360 other locations,4.6k,3.7
Utkarsh Small Finance Bank,22,11.1k, Varanasi ,Banking,Banking | Varanasi +410 other locations,4.6k,3.6
EY Global Delivery Services ( EY GDS),9,50.8k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +56 other locations,4.6k,3.5
Hewlett Packard Enterprise,285,27.3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +104 other locations,4.6k,4.0
